,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,cost of living index,house_age
3455,4.0,2.5,2310,5100,2.0,0,1,3,2310,0,0.9994,97
3501,4.0,3.0,6430,27517,2.0,0,1,3,6430,0,0.9981,19
3245,3.0,2.0,2050,3933,1.0,0,1,3,1180,870,1.0,19
949,3.0,2.25,1490,974,2.0,0,1,3,1220,270,1.0,11
2265,5.0,2.0,2130,4180,1.5,0,1,5,1270,860,1.0,94
968,3.0,1.0,1210,9525,1.0,0,1,3,1210,0,1.0,15
2336,5.0,4.75,3830,35000,1.0,0,1,3,2130,1700,0.9987,44
4255,4.0,2.25,2192,12128,2.0,0,1,3,2192,0,1.0006,14
4369,2.0,1.0,1340,7788,1.0,0,3,3,1340,0,1.0019,8
1641,3.0,2.75,2470,3600,2.0,0,1,3,2470,0,0.9981,13
4514,3.0,2.5,1550,3569,2.0,0,1,3,1550,0,1.0013,9
1432,3.0,2.0,2020,8555,1.0,0,1,4,1220,800,1.0,19
3194,3.0,2.25,1520,1245,3.0,0,1,3,1520,0,1.0,17
1120,4.0,2.5,2250,3916,2.0,0,1,3,2250,0,1.0006,6
3288,2.0,1.0,910,2002,1.5,0,1,3,910,0,1.0,15
2319,2.0,1.0,1150,30184,1.0,0,1,3,1150,0,1.0006,15
1485,2.0,1.0,840,5510,1.0,0,1,3,840,0,1.0,15
3819,3.0,2.5,2370,11172,2.0,0,1,3,2370,0,1.0006,27
3365,4.0,1.0,2000,4676,1.5,0,1,3,1250,750,1.0,34
3101,3.0,2.0,1340,1384,3.0,0,1,3,1340,0,1.0,12
2168,4.0,1.75,2060,26036,1.0,0,1,4,1160,900,1.0006,32
4556,5.0,2.5,1970,8605,2.0,0,1,4,1970,0,0.9994,26
2724,2.0,1.75,1610,158558,1.5,0,1,2,1610,0,0.9981,72
2008,3.0,1.75,2930,19876,1.0,0,1,3,2030,900,0.9981,27
3744,3.0,2.5,2495,4400,2.0,0,1,3,2495,0,1.0006,13
3731,4.0,2.5,2000,13300,1.0,0,1,4,1200,800,1.0006,52
2710,4.0,2.75,3310,6166,2.0,0,1,3,3310,0,0.9981,12
1812,4.0,2.5,3030,3841,3.0,0,1,3,3030,0,1.0,15
4527,3.0,1.75,1750,11461,2.0,0,1,4,1750,0,1.0013,28
2445,4.0,2.5,1910,7683,2.0,0,1,3,1910,0,0.9987,20
3736,4.0,2.0,1670,9987,1.0,0,1,3,1670,0,1.0006,9
2264,3.0,2.5,2060,5750,1.0,0,1,3,1330,730,1.0,44
1484,2.0,3.0,1410,1240,2.0,0,1,3,1140,270,1.0,14
1580,3.0,2.25,2430,5500,2.0,0,1,3,1810,620,0.9981,31
4470,2.0,2.0,2280,641203,2.0,0,1,3,2280,0,0.9981,11
3577,2.0,1.5,1040,3500,1.5,0,1,4,1040,0,1.0,116
2773,4.0,3.5,3080,4815,2.0,0,4,3,2300,780,1.0,11
339,3.0,2.0,1230,11502,1.0,0,1,4,1230,0,0.9974,36
3988,4.0,1.0,1360,13372,1.0,0,1,3,1360,0,0.9994,15
3356,3.0,2.5,1750,1548,3.0,0,1,3,1750,0,1.0,97
3930,4.0,2.75,2140,13000,1.0,0,1,3,1320,820,0.9994,23
1265,4.0,2.5,2190,11500,1.0,0,1,4,1430,760,0.9981,48
1383,3.0,1.75,2240,8153,1.0,0,1,3,1120,1120,1.0,26
2668,3.0,1.0,1370,7500,1.0,0,1,3,1370,0,0.9987,8
1852,4.0,1.75,2010,9211,1.0,0,1,3,1470,540,0.9987,16
787,2.0,1.0,1100,8281,1.0,0,1,4,1100,0,1.0,32
2286,2.0,1.0,880,6413,1.0,0,1,3,880,0,1.0,15
136,4.0,2.0,2600,4800,1.0,0,3,3,1400,1200,1.0,67
838,4.0,3.25,2420,4000,1.5,0,1,5,1870,550,1.0,36
1614,4.0,2.5,3160,8281,2.0,0,1,4,3160,0,0.9981,25
879,3.0,2.0,2260,9568,1.0,0,1,3,1780,480,0.9981,35
3972,4.0,2.75,2720,4613,2.0,0,1,3,2720,0,0.9994,15
3440,5.0,2.75,2280,10319,1.0,0,1,3,1300,980,0.9994,31
126,3.0,1.75,2450,2691,2.0,0,1,3,1750,700,1.0,105
3966,4.0,2.5,2440,28405,2.0,0,1,3,2440,0,0.9994,18
3454,4.0,3.25,3090,6744,2.0,0,5,3,3090,0,0.9994,97
1737,3.0,1.75,1400,3825,1.5,0,1,4,1100,300,1.0,116
2638,5.0,2.75,2730,22572,1.0,0,1,3,2080,650,0.9981,28
390,3.0,2.5,2610,7510,2.0,0,1,3,2610,0,0.9974,24
2639,4.0,2.5,2770,5686,2.0,0,1,3,2770,0,0.9981,17
977,3.0,1.5,1210,5240,1.0,0,1,4,610,600,1.0,37
481,4.0,2.75,3650,6982,2.0,0,3,4,2530,1120,1.0,17
1478,3.0,1.0,1180,8240,1.0,0,1,4,1180,0,1.0013,53
394,3.0,3.0,2630,4896,2.0,0,1,3,2630,0,0.9974,14
3089,9.0,4.5,3830,6988,2.5,0,1,3,2450,1380,1.0,17
1672,4.0,2.75,2450,4187,2.0,0,3,3,2450,0,0.9981,10
3857,3.0,1.0,1390,6000,1.0,0,1,3,1390,0,1.0006,15
3348,2.0,1.0,790,5240,1.0,0,1,4,790,0,1.0,52
4246,3.0,2.0,1410,5760,1.0,0,1,3,1410,0,1.0006,35
1676,2.0,1.75,1210,1040,2.0,0,1,3,1210,0,0.9981,6
3949,3.0,1.0,1430,19901,1.5,0,1,4,1430,0,0.9994,93
613,3.0,2.0,1730,38884,1.0,0,1,3,1730,0,0.9994,23
2646,4.0,2.5,2850,37522,2.0,0,1,3,2850,0,0.9981,20
816,5.0,2.0,2060,6000,2.0,0,1,3,2060,0,1.0,15
2753,3.0,2.5,1950,5689,2.0,0,1,3,1950,0,0.9981,11
3337,3.0,1.75,1580,11750,1.0,0,1,4,1180,400,1.0,21
2400,2.0,2.0,2370,217800,1.5,0,1,3,1600,770,0.9987,28
2738,3.0,2.5,2420,7307,2.0,0,1,3,2420,0,0.9981,14
1521,5.0,1.5,2540,6660,2.0,0,4,4,2340,200,1.0,41
33,5.0,1.75,2120,8399,1.0,0,1,4,1320,800,1.0,38
4359,5.0,1.75,3000,6000,1.0,0,1,5,1500,1500,1.0019,62
1134,3.0,1.75,2200,7706,2.0,0,3,3,2200,0,1.0006,32
3218,4.0,3.25,3730,4560,2.0,0,1,3,2760,970,1.0,97
1729,3.0,2.0,1410,4800,1.0,0,1,3,1410,0,1.0,24
393,5.0,2.5,2500,7200,1.0,0,1,4,1490,1010,0.9974,43
3927,4.0,3.0,3100,15480,2.0,0,1,3,2400,700,0.9994,24
636,4.0,2.5,2530,5048,2.0,0,1,3,2530,0,0.9994,6
4176,4.0,1.75,2600,11325,1.0,0,1,4,1610,990,1.0006,51
3633,2.0,2.25,930,747,2.0,0,1,3,630,300,1.0,13
1321,3.0,2.25,1870,9000,1.0,0,1,3,1440,430,0.9987,42
2596,4.0,2.5,2860,12394,2.0,0,1,3,2860,0,0.9981,21
2980,4.0,2.0,2200,7700,1.0,0,1,3,1100,1100,1.0,6
1030,3.0,3.0,4910,43560,2.0,0,1,4,4000,910,0.9974,31
4377,5.0,2.5,2690,5557,2.0,0,1,3,2690,0,1.0019,108
883,4.0,2.5,3280,6181,2.0,0,1,3,3280,0,0.9981,19
534,4.0,2.5,2600,7200,2.0,0,1,3,2600,0,1.0,18
2282,4.0,1.75,2000,3988,1.0,0,5,4,1000,1000,1.0,48
1527,3.0,2.0,1890,1599,2.0,0,1,3,1430,460,1.0,108
2979,3.0,2.5,2480,6112,2.0,0,1,3,2480,0,1.0,17
1253,3.0,2.0,1300,14350,1.0,0,1,3,1300,0,0.9981,7
3248,3.0,2.25,1640,1204,3.0,0,1,3,1640,0,1.0,6
3855,3.0,1.0,1020,8610,1.0,0,1,5,1020,0,1.0006,61
1770,4.0,3.5,3760,5000,2.0,0,1,3,2860,900,1.0,6
11,3.0,2.0,1770,6610,1.0,0,1,4,960,810,1.0,41
1942,4.0,2.0,1560,7500,1.0,0,1,4,1560,0,0.9987,52
794,5.0,3.5,4010,8510,2.0,0,2,5,2850,1160,1.0,49
1456,3.0,1.0,1010,7245,1.0,0,1,3,1010,0,1.0013,10
678,2.0,1.0,1350,10096,1.0,0,3,4,1350,0,0.9987,68
2892,4.0,1.75,2110,265716,1.0,0,1,4,2110,0,0.9987,41
3873,2.0,1.0,810,7980,1.0,0,1,1,810,0,1.0006,92
4378,5.0,3.5,2100,5107,2.0,0,1,3,1410,690,1.0019,21
2119,2.0,1.0,800,3330,1.0,0,1,3,800,0,1.0,102
1349,3.0,2.25,1606,1452,3.0,0,1,3,1606,0,1.0,11
2254,2.0,1.5,1090,4000,1.0,0,1,3,970,120,1.0,26
498,3.0,1.5,1900,5000,1.5,0,1,3,1640,260,1.0,17
3321,3.0,2.25,2120,54014,2.0,0,1,4,2120,0,0.9981,56
3142,2.0,1.0,1170,6000,1.0,0,1,4,970,200,1.0,22
1023,3.0,2.5,1530,3464,2.0,0,1,3,1530,0,0.9974,14
3206,2.0,1.0,950,4500,1.0,0,3,3,850,100,1.0,17
3233,2.0,2.25,1230,929,2.0,0,1,3,1020,210,1.0,17
402,3.0,2.5,2375,4094,2.0,0,1,3,2375,0,0.9974,18
1788,5.0,3.25,3230,3825,2.0,0,1,3,2480,750,1.0,6
1702,3.0,2.5,2390,1984,2.0,0,1,3,2220,170,0.9981,12
3924,3.0,1.0,1040,6860,2.0,0,1,3,1040,0,1.0006,21
981,6.0,1.0,1370,5080,1.5,0,1,3,1120,250,1.0,89
4457,2.0,1.0,960,28717,1.0,0,1,4,960,0,0.9981,36
3880,2.0,1.0,860,8308,1.0,0,1,4,860,0,1.0006,72
2634,4.0,2.75,3010,15992,2.0,0,1,3,3010,0,0.9981,24
3506,3.0,2.5,2200,20000,1.0,0,2,3,1400,800,0.9981,12
4364,4.0,1.75,2080,13629,1.0,0,1,4,1040,1040,1.0019,11
3319,4.0,2.5,2660,10800,1.0,0,1,3,2660,0,0.9981,6
1860,3.0,1.5,1060,10464,1.0,0,1,4,1060,0,0.9987,47
797,3.0,1.0,990,6000,1.0,0,1,3,990,0,1.0,18
2526,3.0,1.75,1180,13927,1.0,0,1,5,1180,0,1.0,58
2780,3.0,1.75,2090,4725,2.0,0,1,3,1610,480,1.0,7
1766,3.0,2.0,1480,5000,1.0,0,1,4,750,730,1.0,92
1137,2.0,1.0,1080,3899,1.0,0,1,4,1080,0,1.0006,48
2590,4.0,3.25,3200,7081,2.0,0,1,3,3200,0,0.9981,17
3498,4.0,1.5,2220,9496,1.0,0,1,4,1490,730,0.9981,41
358,4.0,2.25,2370,9360,2.0,0,1,4,2370,0,0.9974,41
2334,4.0,2.25,2430,32496,1.0,0,1,3,2430,0,0.9987,27
1121,4.0,3.25,4280,47179,2.0,0,1,3,3050,1230,1.0006,18
2236,2.0,1.75,1480,5120,1.0,0,1,4,840,640,1.0,21
46,4.0,3.0,1980,7931,1.0,0,1,4,1160,820,1.0,37
99,2.0,1.0,980,1179,2.0,0,1,3,980,0,1.0,10
765,2.0,1.0,1010,7200,1.0,0,1,3,1010,0,1.0,45
905,4.0,2.5,2300,7989,2.0,0,1,3,2300,0,0.9981,11
1482,4.0,2.5,2530,8169,2.0,0,1,3,2530,0,1.0013,27
4157,3.0,1.75,1840,7412,1.0,0,1,4,1240,600,1.0006,28
4372,2.0,1.0,1180,9350,1.0,0,1,3,1180,0,1.0019,102
2477,4.0,2.5,3180,21904,2.0,0,4,3,3180,0,1.0,20
1175,3.0,2.25,2590,15229,2.0,0,4,3,2590,0,1.0006,36
2469,3.0,2.25,1940,5980,1.0,0,1,3,1520,420,0.9987,20
1921,4.0,3.5,3530,14406,2.0,0,2,3,2570,960,0.9987,20
4068,4.0,1.75,1980,10800,1.0,0,1,5,990,990,0.9994,35
84,2.0,1.5,920,1598,2.0,0,1,3,920,0,1.0,25
4539,3.0,1.5,1180,7300,1.0,0,1,4,1180,0,1.0013,52
1591,4.0,2.0,1580,9581,1.0,0,1,3,1580,0,0.9981,67
3129,3.0,2.0,1270,1323,3.0,0,1,3,1270,0,1.0,14
2261,3.0,2.0,1360,5980,1.5,0,1,3,1360,0,1.0,12
3806,3.0,1.0,1320,8625,1.0,0,1,4,1320,0,1.0006,19
1205,4.0,2.5,2380,9614,2.0,0,1,4,2380,0,0.9981,29
3732,3.0,1.0,1900,33888,1.5,0,1,4,1900,0,1.0006,38
2543,3.0,3.5,3390,10078,2.0,0,1,3,3040,350,1.0,108
1306,3.0,1.0,1580,3840,2.0,0,1,3,1580,0,1.0,32
3195,3.0,2.25,1420,1309,3.0,0,1,3,1420,0,1.0,14
2988,3.0,2.25,1780,10395,1.0,0,1,3,1780,0,1.0,9
1947,3.0,1.75,1590,8219,1.5,0,1,5,970,620,0.9987,82
471,2.0,1.0,800,6380,1.0,0,3,3,800,0,1.0,24
4485,2.0,2.0,2930,14057,1.0,0,3,4,1680,1250,0.9981,40
2574,3.0,2.25,2430,73151,1.0,0,1,3,2430,0,1.0,46
2767,5.0,1.75,2220,6000,1.5,0,1,3,1420,800,1.0,22
746,3.0,2.5,1950,6871,2.0,0,1,3,1950,0,1.0,23
906,3.0,2.5,2070,4132,2.0,0,1,3,2070,0,0.9981,21
3397,3.0,2.75,3890,7216,2.0,0,2,3,3260,630,1.0,10
438,3.0,1.75,1960,4788,1.0,0,1,4,1090,870,1.0,100
3977,2.0,1.5,1068,1758,2.0,0,1,3,1068,0,0.9994,11
3044,3.0,2.5,1350,3068,2.0,0,1,3,1350,0,1.0,29
4021,2.0,1.0,1500,4120,1.5,0,1,3,880,620,1.0006,66
2976,5.0,2.5,2220,9360,1.0,0,1,4,1110,1110,1.0,52
4116,4.0,1.5,2310,68824,2.0,0,1,4,2310,0,0.9994,52
4130,3.0,2.25,1440,7673,1.0,0,1,3,940,500,1.0006,38
1842,3.0,1.5,1620,6630,1.0,0,1,3,1280,340,1.0,15
4212,3.0,2.5,1660,1545,2.0,0,3,3,1400,260,1.0,18
3734,3.0,1.0,1660,7210,1.0,0,1,3,1100,560,1.0006,12
4140,3.0,1.5,1270,11600,1.0,0,1,4,1270,0,1.0006,56
1058,4.0,2.5,2490,8290,2.0,0,1,3,2490,0,1.0006,21
2604,6.0,2.75,3610,17580,1.0,0,5,5,2070,1540,0.9981,61
3716,2.0,1.0,780,16344,1.0,0,1,1,780,0,1.0026,78
3670,4.0,2.0,1930,6600,1.0,0,1,4,1030,900,1.0026,53
3928,4.0,2.5,2000,5684,2.0,0,1,3,2000,0,0.9994,24
3711,3.0,1.5,1800,22000,2.0,0,1,3,1800,0,1.0026,89
3804,3.0,1.0,1050,5000,1.0,0,1,4,1050,0,1.0006,53
2129,2.0,2.5,1140,1182,3.0,0,1,3,1140,0,1.0,13
1278,4.0,3.5,3550,11000,1.0,0,3,3,2260,1290,0.9981,21
4108,3.0,1.75,1250,10122,1.0,0,1,3,1250,0,0.9994,26
4063,4.0,2.25,2770,13500,2.0,0,1,3,2770,0,0.9994,46
771,4.0,1.0,1370,8499,1.0,0,1,3,1370,0,1.0,22
4160,4.0,2.5,2340,8548,2.0,0,1,3,2340,0,1.0006,27
4207,4.0,3.75,3520,3944,1.5,0,1,5,2200,1320,1.0,107
1518,3.0,1.75,1720,5899,1.0,0,2,3,1220,500,1.0,34
2104,2.0,1.0,810,8424,1.0,0,1,4,810,0,1.0013,61
1958,4.0,2.5,3480,59242,2.0,0,1,3,3480,0,0.9981,20
249,3.0,2.0,1400,7293,1.0,0,1,4,1400,0,0.9981,57
1384,3.0,2.5,2590,7237,2.0,0,1,3,2590,0,1.0,17
3173,4.0,3.5,2650,3060,2.0,0,1,3,2060,590,1.0,19
1027,3.0,2.5,2590,7720,2.0,0,1,3,2590,0,0.9974,20
3452,4.0,2.75,2910,18700,1.0,0,1,3,2210,700,0.9994,25
4332,3.0,1.0,1250,4800,1.0,0,1,4,1250,0,1.0,21
1536,3.0,1.75,1980,6250,1.0,0,2,5,1090,890,1.0,110
3665,3.0,1.5,1780,23819,1.0,0,1,3,1780,0,1.0026,67
3841,4.0,2.5,2580,6260,2.0,0,1,3,2580,0,1.0006,17
1583,4.0,1.5,1320,14250,1.0,0,1,4,1320,0,0.9981,41
2377,4.0,2.75,3370,12447,2.0,0,1,3,3370,0,0.9987,29
3211,3.0,1.75,1630,1526,3.0,0,1,3,1630,0,1.0,6
3514,4.0,3.75,4350,7965,2.0,0,1,3,4350,0,0.9981,97
3559,3.0,2.25,2140,11266,2.0,0,1,3,2140,0,0.9987,34
4245,3.0,2.5,2430,15264,2.0,0,1,3,2430,0,1.0006,23
1692,3.0,2.5,1860,8060,2.0,0,1,4,1860,0,0.9981,33
1630,3.0,2.5,2490,4343,2.0,0,1,3,2490,0,0.9981,17
4448,2.0,1.0,1020,7920,1.0,0,1,3,1020,0,1.0,51
3611,2.0,1.75,1060,1241,2.0,0,1,3,960,100,1.0,12
2840,2.0,2.5,2380,9374,1.0,0,3,3,2380,0,0.9987,9
3456,4.0,1.0,1940,5753,1.5,0,1,3,1940,0,0.9994,8
1928,3.0,2.5,1730,8490,1.0,0,1,3,1210,520,0.9987,10
596,4.0,2.75,2420,5773,2.0,0,1,3,2420,0,0.9994,15
1847,3.0,3.0,2470,7410,2.0,0,1,5,1860,610,1.0,43
1352,3.0,2.25,1352,1694,3.0,0,1,3,1352,0,1.0,13
2919,4.0,2.5,2540,38677,2.0,0,1,3,2540,0,0.9987,20
4179,4.0,2.5,2200,8065,2.0,0,1,3,2200,0,1.0006,14
3615,3.0,1.5,2210,6300,1.5,0,1,5,2210,0,1.0,104
1783,2.0,1.0,860,3880,1.0,0,1,4,860,0,1.0,104
665,4.0,2.0,980,10640,1.0,0,1,5,980,0,0.9987,42
1280,5.0,3.5,5430,10327,2.0,0,3,3,4010,1420,0.9981,13
2013,4.0,1.5,1240,9600,1.0,0,1,3,1240,0,1.0013,49
2271,3.0,3.25,1370,913,2.0,0,1,3,1100,270,1.0,14
1477,3.0,2.75,3176,13391,2.0,0,4,4,2726,450,1.0013,35
3067,3.0,3.0,3790,5001,2.0,0,1,3,2810,980,1.0,31
2797,2.0,1.75,1330,6000,1.0,0,1,4,960,370,1.0,75
3357,3.0,1.0,1700,6356,1.5,0,1,3,1700,0,1.0,37
3792,3.0,2.5,2920,3942,3.0,0,1,3,2920,0,1.0006,12
4371,4.0,2.5,2210,6080,1.0,0,3,4,1410,800,1.0019,55
1821,3.0,1.75,2430,5000,2.0,0,1,4,1760,670,1.0,75
622,5.0,3.0,3640,6930,2.0,0,1,3,3640,0,0.9994,17
239,3.0,2.0,1370,78408,1.0,0,1,5,1370,0,1.0,56
2874,3.0,2.5,2300,6009,1.0,0,1,3,2300,0,0.9987,15
2946,4.0,2.5,2100,3916,2.0,0,1,3,2100,0,1.0,11
823,6.0,2.0,1670,3000,1.0,0,1,5,900,770,1.0,36
4523,3.0,1.75,1160,6134,1.0,0,1,3,1160,0,1.0013,14
420,3.0,1.75,960,8106,1.0,0,1,3,960,0,0.9974,17
4426,2.0,1.0,1210,4800,1.0,0,1,3,1060,150,1.0,15
1667,3.0,2.25,1710,4140,2.0,0,1,3,1710,0,0.9981,17
3081,2.0,3.0,1270,1175,2.0,0,1,3,1110,160,1.0,20
2982,4.0,1.75,2110,7208,1.0,0,1,3,1170,940,1.0,45
3795,4.0,2.5,3000,5548,2.0,0,1,3,3000,0,1.0006,14
3583,3.0,2.5,2550,7200,2.0,0,3,3,2550,0,1.0,7
2650,4.0,2.5,3020,7465,2.0,0,1,3,3020,0,0.9981,17
454,2.0,2.0,1360,4688,1.0,0,1,3,780,580,1.0,76
1721,2.0,2.0,1100,3000,1.5,0,1,3,1100,0,1.0,15
1151,3.0,2.0,1750,9750,1.0,0,1,3,1350,400,1.0006,16
386,4.0,3.25,3090,9571,2.0,0,1,3,2370,720,0.9974,17
4102,3.0,4.5,5230,17826,2.0,1,5,3,3740,1490,0.9994,15
679,3.0,1.5,1360,9760,1.5,0,1,5,1360,0,0.9987,36
3717,2.0,1.0,520,22334,1.0,0,1,2,520,0,1.0026,69
948,3.0,1.75,1960,8136,1.0,0,1,3,980,980,1.0,26
723,3.0,1.0,960,8100,1.0,0,1,3,960,0,1.0,15
23,3.0,1.75,1410,6886,1.0,0,1,3,1410,0,1.0,7
4225,3.0,1.0,860,11900,1.0,0,1,4,860,0,1.0006,57
2174,3.0,1.5,1350,7620,1.0,0,1,5,1350,0,1.0006,79
257,3.0,2.0,2020,8118,1.0,0,1,3,1020,1000,0.9981,12
229,4.0,2.5,2105,6093,2.0,0,1,3,2105,0,1.0,17
2781,3.0,2.5,1690,1553,2.5,0,1,3,1690,0,1.0,13
2509,3.0,2.0,1880,10758,1.0,0,1,5,940,940,1.0,22
2189,3.0,2.0,1769,9300,1.0,0,1,4,1769,0,1.0006,11
36,3.0,1.75,1320,6205,1.0,0,1,5,1320,0,1.0,35
236,4.0,1.5,2180,22870,1.0,0,1,4,1280,900,1.0,45
1273,4.0,2.5,2980,16263,2.0,0,1,3,2980,0,0.9981,31
728,4.0,2.25,1790,7203,1.0,0,1,4,1110,680,1.0,47
1256,5.0,2.25,2370,15512,2.0,0,1,4,2370,0,0.9981,39
1640,4.0,2.5,2700,4004,2.0,0,1,3,2700,0,0.9981,17
1457,4.0,4.25,2360,57514,2.0,0,1,4,2360,0,1.0013,33
2304,4.0,2.25,2310,7490,2.0,0,1,3,2310,0,1.0006,40
4496,3.0,1.0,1330,8912,1.0,0,1,3,1330,0,1.0013,26
2583,3.0,2.5,3240,7857,2.0,0,1,3,3240,0,0.9981,26
4038,5.0,4.25,6490,10862,2.0,0,4,4,3940,2550,0.9994,29
3518,4.0,1.75,1440,13296,1.0,0,1,4,1440,0,0.9981,53
2960,4.0,2.5,2460,5091,2.0,0,1,3,2460,0,1.0,17
1712,3.0,2.5,2820,8159,2.0,0,1,3,2820,0,0.9981,17
1988,3.0,1.75,2300,35722,1.0,0,1,3,2300,0,0.9981,36
1791,2.0,1.25,1240,2150,2.0,0,1,3,1240,0,1.0,6
1843,4.0,2.5,2110,3750,2.0,0,1,3,2110,0,1.0,20
3898,3.0,1.0,1050,6300,1.0,0,1,3,1050,0,1.0006,21
186,4.0,2.75,3270,50994,2.0,0,1,4,2720,550,1.0,37
2084,3.0,1.0,970,9583,1.0,0,1,4,970,0,1.0013,53
2857,3.0,2.5,2620,21587,2.0,0,1,3,2620,0,0.9987,28
1169,2.0,1.75,1390,4482,1.0,0,1,4,1390,0,1.0006,40
1291,3.0,1.75,1880,10032,1.0,0,1,4,1880,0,0.9981,36
131,4.0,4.75,3970,9778,2.0,0,3,4,3390,580,1.0,92
2417,3.0,1.75,2310,78844,1.0,0,1,3,1760,550,0.9987,16
4476,2.0,1.0,1240,27042,1.0,0,2,3,1000,240,0.9981,18
645,4.0,2.5,2380,5000,2.0,0,1,3,2380,0,0.9994,15
1736,5.0,2.5,2540,3832,2.0,0,1,5,1760,780,1.0,91
4269,3.0,1.5,1540,4773,2.0,0,1,3,1540,0,1.0,11
3861,3.0,1.5,1830,9848,1.0,0,1,5,1830,0,1.0006,58
2005,3.0,2.0,1760,6875,1.0,0,1,4,1760,0,0.9981,53
