,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,cost of living index,house_age,price
3248,3.0,2.25,1640,1204,3.0,0,1,3,1640,0,1.0,6,772000.0
986,5.0,3.25,2910,5027,2.0,0,1,3,2040,870,1.0,97,515000.0
4096,5.0,4.75,5780,17004,2.0,0,1,3,4260,1520,0.9994,14,2321000.0
3350,4.0,1.75,2740,8520,1.0,0,3,3,1370,1370,1.0,15,657000.0
2562,5.0,1.75,2330,14322,1.0,0,1,4,1180,1150,1.0,52,350000.0
2690,3.0,2.5,2100,5824,2.0,0,3,3,2100,0,0.9981,21,505000.0
3436,3.0,1.75,1970,8200,1.0,0,1,5,1420,550,0.9994,57,540000.0
2923,3.0,2.25,1630,12295,2.0,0,1,4,1630,0,1.0,35,339950.0
3433,3.0,2.5,4310,32093,1.5,0,5,5,2510,1800,0.9994,38,1735000.0
2717,3.0,2.5,2060,4399,2.0,0,1,3,2060,0,0.9981,13,418500.0
2446,5.0,4.75,5990,10450,2.0,1,5,3,4050,1940,0.9987,18,2200000.0
3323,3.0,2.25,1980,10115,1.0,0,1,3,1980,0,0.9981,31,640000.0
1247,4.0,2.5,2810,10613,2.0,0,1,3,2810,0,0.9981,31,810000.0
1602,3.0,1.75,1610,8613,1.0,0,1,5,1610,0,0.9981,58,725000.0
4560,3.0,1.75,1570,8459,1.0,0,1,3,1570,0,0.9994,29,195000.0
2791,7.0,4.25,3670,4000,2.0,0,2,3,2800,870,1.0,20,824000.0
358,4.0,2.25,2370,9360,2.0,0,1,4,2370,0,0.9974,41,684680.0
2160,2.0,1.0,900,9260,1.0,0,1,3,900,0,1.0,74,496000.0
3667,2.0,1.0,820,10270,1.0,0,1,3,820,0,1.0026,15,150000.0
1412,6.0,2.0,1900,8240,1.0,0,1,2,1200,700,1.0,56,305000.0
2820,4.0,2.25,2980,8051,1.5,0,3,4,2020,960,1.0,85,535000.0
187,4.0,3.5,3730,15029,2.0,0,3,3,2440,1290,1.0,29,599950.0
1659,2.0,1.5,1140,2980,2.0,0,1,3,1140,0,0.9981,20,305000.0
2977,4.0,1.75,1530,8750,1.5,0,1,4,1530,0,1.0,52,269900.0
1985,3.0,2.25,2110,11319,2.0,0,1,4,2110,0,0.9981,20,479000.0
4487,5.0,3.0,2257,10117,1.0,0,1,3,1363,894,1.0013,15,349950.0
3691,3.0,1.75,1440,12888,1.0,0,3,3,1090,350,1.0026,16,260000.0
1869,4.0,2.25,2270,7800,1.0,0,1,3,1290,980,0.9987,16,446000.0
2617,3.0,2.5,2260,4165,2.0,0,1,3,2260,0,0.9981,15,550000.0
467,3.0,1.75,1680,3420,1.0,0,1,3,960,720,1.0,28,526000.0
1992,3.0,2.0,1410,9600,1.0,0,1,4,1410,0,0.9981,37,365500.0
2536,4.0,2.5,2940,10382,2.0,0,1,4,2940,0,1.0,29,752000.0
3666,4.0,1.75,2200,8100,1.5,0,1,5,1400,800,1.0026,78,305000.0
2445,4.0,2.5,1910,7683,2.0,0,1,3,1910,0,0.9987,20,620000.0
1870,4.0,1.5,1370,9957,1.0,0,1,3,900,470,0.9987,18,370000.0
1842,3.0,1.5,1620,6630,1.0,0,1,3,1280,340,1.0,15,620000.0
43,3.0,2.75,2390,9313,1.0,0,1,5,1390,1000,1.0,78,689800.0
1875,3.0,4.0,3880,13095,2.0,0,4,3,3700,180,0.9987,11,1030000.0
3963,3.0,1.75,1710,10800,1.0,0,1,4,1710,0,0.9994,48,368000.0
2623,4.0,2.75,2240,27820,1.5,0,1,4,2240,0,0.9981,28,580379.0
3089,9.0,4.5,3830,6988,2.5,0,1,3,2450,1380,1.0,17,599999.0
54,4.0,2.5,2090,9702,1.0,0,1,5,1320,770,1.0,55,465000.0
1514,2.0,1.0,1140,5100,1.0,0,1,3,1140,0,1.0,21,400000.0
3580,4.0,1.0,3410,5000,2.0,0,1,5,2190,1220,1.0,110,1039000.0
3182,3.0,2.25,1240,949,3.0,0,1,3,1240,0,1.0,12,543000.0
1236,3.0,1.75,2920,9370,1.0,0,1,4,1620,1300,0.9981,39,650000.0
3450,4.0,2.5,1910,10300,1.0,0,1,3,1910,0,0.9994,52,458400.0
4149,3.0,2.5,1880,7000,2.0,0,1,3,1880,0,1.0006,27,315000.0
3680,2.0,1.0,1500,18540,1.0,0,1,3,1500,0,1.0026,15,170000.0
599,3.0,2.5,1560,4200,2.0,0,1,3,1560,0,0.9994,17,269000.0
781,3.0,2.5,2650,9380,1.0,0,1,5,1680,970,1.0,45,590000.0
2832,4.0,2.5,2660,4000,2.0,0,1,3,2660,0,0.9987,19,583000.0
2643,5.0,2.5,3290,5029,2.0,0,1,3,3290,0,0.9981,17,739900.0
266,3.0,1.75,1980,13503,1.0,0,3,4,1320,660,0.9981,68,810000.0
50,3.0,1.75,1890,9100,2.0,0,1,4,1890,0,1.0,68,359950.0
1256,5.0,2.25,2370,15512,2.0,0,1,4,2370,0,0.9981,39,913888.0
742,3.0,1.0,1280,8184,1.5,0,1,4,1280,0,1.0,32,304000.0
2207,2.0,1.0,720,8040,1.0,0,1,3,720,0,1.0006,18,210000.0
2834,4.0,4.5,5420,101930,1.0,0,1,3,3890,1530,0.9987,19,1225000.0
4458,2.0,1.75,2040,28593,1.5,1,4,4,2040,0,0.9981,30,615000.0
3352,3.0,1.0,1920,6862,1.0,0,3,3,1120,800,1.0,12,325000.0
3563,4.0,1.75,1700,20283,1.5,0,1,3,1340,360,0.9987,27,400000.0
3274,2.0,2.75,1430,1425,2.0,0,1,3,995,435,1.0,14,465000.0
2372,3.0,3.5,3830,221284,2.0,0,1,3,3530,300,0.9987,27,800000.0
3568,3.0,1.0,1040,8128,1.0,0,1,3,1040,0,0.9987,11,234000.0
2465,2.0,1.0,1190,27007,1.0,0,1,4,1190,0,0.9987,110,195000.0
891,3.0,2.25,1580,12177,1.0,0,1,3,1200,380,0.9981,7,475000.0
2235,3.0,1.5,1260,3135,1.5,0,1,3,1260,0,1.0,89,523000.0
1492,2.0,1.5,830,1333,2.0,0,1,3,830,0,1.0,15,301500.0
2979,3.0,2.5,2480,6112,2.0,0,1,3,2480,0,1.0,17,340000.0
1533,2.0,1.0,1080,7775,1.0,0,1,3,1080,0,1.0,15,345000.0
4457,2.0,1.0,960,28717,1.0,0,1,4,960,0,0.9981,36,255000.0
3082,3.0,2.25,1410,1332,3.0,0,1,3,1410,0,1.0,15,406100.0
4548,4.0,3.5,5550,28078,2.0,0,3,4,3350,2200,0.9987,20,3710000.0
3552,4.0,2.5,2170,14024,2.0,0,1,3,2170,0,0.9987,28,442500.0
4262,1.0,1.0,810,2451,1.0,0,1,5,810,0,1.0,79,235000.0
2750,3.0,2.5,1590,3411,2.0,0,1,3,1590,0,0.9981,20,356000.0
1055,4.0,2.5,3040,24123,2.0,0,1,3,3040,0,1.0006,21,420000.0
1199,4.0,2.75,2820,13193,1.0,0,1,3,1860,960,0.9981,27,615000.0
574,2.0,2.0,1470,3128,2.0,0,1,3,1470,0,0.9994,15,241000.0
2785,3.0,1.0,1140,5500,1.5,0,1,4,1140,0,1.0,112,476000.0
96,2.0,1.0,1540,6872,1.0,0,1,4,820,720,1.0,31,615000.0
3112,3.0,2.0,2180,5440,1.0,0,1,5,1100,1080,1.0,116,785000.0
3410,2.0,1.75,1360,8100,1.0,0,1,3,860,500,0.9994,45,300000.0
2752,4.0,2.5,3340,8930,2.0,0,3,3,3340,0,0.9981,21,720000.0
724,3.0,1.0,1390,9624,1.5,0,1,4,1390,0,1.0,41,299000.0
2287,2.0,2.25,2130,4920,1.5,0,5,4,1530,600,1.0,22,0.0
4253,4.0,2.5,2300,6448,2.0,0,1,3,2300,0,1.0006,19,342000.0
3408,4.0,3.5,3380,8330,2.0,0,1,3,3380,0,0.9994,20,655500.0
1347,3.0,3.0,1571,2017,3.0,0,1,3,1571,0,1.0,12,366750.0
2823,2.0,2.5,2680,7392,1.0,0,1,3,2680,0,0.9987,17,775000.0
2894,4.0,2.5,3500,7048,2.0,0,1,3,3500,0,0.9987,15,780000.0
2688,4.0,2.5,2910,6479,2.0,0,1,3,2910,0,0.9981,14,499000.0
1811,4.0,1.75,2330,5000,1.5,0,1,4,1510,820,1.0,91,687500.0
1002,4.0,2.5,1840,1562,2.0,0,1,3,1400,440,1.0,17,274750.0
4090,4.0,4.25,5010,19412,2.0,0,2,3,4000,1010,0.9994,6,2351956.0
777,2.0,1.0,770,7906,1.0,0,1,4,770,0,1.0,72,260000.0
3730,4.0,3.0,2163,5883,2.0,0,1,3,2163,0,1.0006,14,248000.0
3678,3.0,1.75,1460,10584,1.0,0,1,3,990,470,1.0026,23,240500.0
4326,3.0,1.0,1200,7800,1.0,0,1,4,1200,0,1.0,41,275000.0
109,4.0,3.75,2930,3200,1.5,0,1,5,2130,800,1.0,95,1100000.0
1731,4.0,1.75,2120,4650,1.0,0,2,3,1190,930,1.0,26,582000.0
3709,2.0,1.0,2160,12960,1.0,0,1,3,1360,800,1.0026,23,305000.0
1392,3.0,2.0,1640,7201,1.0,0,1,3,1640,0,1.0,26,405000.0
4298,5.0,1.0,1710,9100,1.5,0,1,4,1320,390,1.0,27,560000.0
3283,3.0,2.25,1490,1212,2.0,0,1,3,1040,450,1.0,9,735000.0
692,4.0,2.75,2790,5527,2.0,0,1,3,2790,0,0.9987,6,483453.0
2567,4.0,3.0,2590,6160,2.0,0,1,3,2590,0,1.0,6,519995.0
2000,3.0,2.25,1900,46609,1.5,0,1,4,1440,460,0.9981,51,600000.0
425,3.0,2.5,2480,5137,2.0,0,1,3,2480,0,0.9974,20,641633.333333
1030,3.0,3.0,4910,43560,2.0,0,1,4,4000,910,0.9974,31,1080000.0
1792,5.0,2.75,2820,4608,1.0,0,1,3,1450,1370,1.0,9,599000.0
2215,3.0,2.25,2790,13791,1.0,0,4,3,2790,0,1.0006,14,1131000.0
2519,1.0,1.75,750,20339,1.0,0,1,4,550,200,1.0,31,355000.0
836,4.0,3.75,3300,4545,1.5,0,5,3,2600,700,1.0,21,0.0
4288,2.0,1.5,1490,4080,1.0,0,1,3,930,560,1.0,19,389250.0
1285,4.0,3.25,5010,34460,2.0,0,1,3,5010,0,0.9981,20,692000.0
4065,3.0,1.75,1540,10800,1.0,0,1,5,770,770,0.9994,73,500000.0
4289,2.0,1.0,810,4800,1.0,0,1,3,810,0,1.0,26,253500.0
2714,3.0,2.5,2240,6396,2.0,0,1,3,2240,0,0.9981,18,432500.0
2507,4.0,3.75,4130,12320,2.0,0,1,3,4130,0,1.0,19,1070000.0
2720,4.0,3.0,4410,5104,2.0,0,1,3,3400,1010,0.9981,14,765000.0
850,4.0,2.5,2740,7140,2.0,0,1,3,2740,0,0.9981,27,651000.0
993,2.0,1.5,800,2119,2.0,0,1,3,800,0,1.0,12,265050.0
2468,4.0,3.75,4740,126759,2.0,0,1,4,4740,0,0.9987,29,1049000.0
2941,5.0,2.5,2430,4781,2.0,0,1,3,2430,0,1.0,19,405000.0
4255,4.0,2.25,2192,12128,2.0,0,1,3,2192,0,1.0006,14,132250.0
4140,3.0,1.5,1270,11600,1.0,0,1,4,1270,0,1.0006,56,246500.0
2769,3.0,2.0,2220,6641,1.0,0,3,4,1220,1000,1.0,32,875000.0
632,4.0,2.5,2960,6031,2.0,0,1,3,2960,0,0.9994,15,449000.0
3827,3.0,1.75,1420,7650,1.0,0,1,4,1100,320,1.0006,36,310000.0
2812,2.0,1.0,1320,8830,1.0,0,1,3,1020,300,1.0,51,425000.0
3628,2.0,0.75,1020,1350,2.0,0,1,3,1020,0,1.0,11,402101.0
1320,3.0,1.75,1660,9600,1.0,0,1,3,1380,280,0.9987,7,420000.0
877,3.0,1.5,1180,12324,1.0,0,1,3,800,380,0.9981,7,372500.0
3586,3.0,1.5,1100,1751,2.0,0,1,3,940,160,1.0,13,375000.0
3983,4.0,2.25,2350,18600,2.0,0,1,4,2350,0,0.9994,43,747500.0
3317,5.0,2.5,2700,16570,1.0,0,1,4,1750,950,0.9981,53,744500.0
3527,5.0,4.0,4430,9000,2.0,0,1,3,4430,0,0.9981,97,0.0
136,4.0,2.0,2600,4800,1.0,0,3,3,1400,1200,1.0,67,780000.0
257,3.0,2.0,2020,8118,1.0,0,1,3,1020,1000,0.9981,12,507500.0
3618,4.0,2.75,3370,6675,1.0,0,4,4,1920,1450,1.0,72,813000.0
1375,3.0,2.0,1080,7236,1.0,0,1,5,1080,0,1.0,73,390000.0
665,4.0,2.0,980,10640,1.0,0,1,5,980,0,0.9987,42,295000.0
1451,4.0,1.5,1930,15531,2.0,0,1,3,1930,0,1.0013,6,275000.0
3085,5.0,2.75,1800,3780,1.5,0,1,3,1400,400,1.0,17,533000.0
1969,4.0,2.25,1820,20349,1.0,0,1,5,1340,480,0.9981,43,465000.0
1701,3.0,2.25,1640,3896,2.0,0,1,3,1640,0,0.9981,26,478000.0
3454,4.0,3.25,3090,6744,2.0,0,5,3,3090,0,0.9994,97,850000.0
2573,4.0,2.5,2550,5200,2.0,0,1,3,2550,0,1.0,11,435000.0
3710,5.0,1.0,1870,7800,1.0,0,1,3,1580,290,1.0026,17,262000.0
3837,4.0,2.5,2620,7553,2.0,0,1,3,2620,0,1.0006,24,605000.0
3121,4.0,2.0,1790,2250,1.0,0,3,4,840,950,1.0,31,475000.0
2425,3.0,2.5,2430,54059,2.0,0,1,3,2430,0,0.9987,20,770000.0
373,3.0,2.25,2010,10760,2.0,0,1,3,2010,0,0.9974,35,605000.0
3947,3.0,1.75,1650,12940,1.0,0,1,4,1650,0,0.9994,19,438000.0
4384,3.0,2.25,1940,11612,1.0,0,1,4,1100,840,1.0019,39,359950.0
905,4.0,2.5,2300,7989,2.0,0,1,3,2300,0,0.9981,11,560000.0
2775,3.0,2.25,2510,6339,1.5,0,3,5,1810,700,1.0,18,994000.0
3345,4.0,2.25,2750,6180,1.0,0,1,4,1500,1250,1.0,72,635000.0
2008,3.0,1.75,2930,19876,1.0,0,1,3,2030,900,0.9981,27,408900.0
892,4.0,2.25,2170,7737,2.0,0,1,3,2170,0,0.9981,20,566000.0
3474,4.0,3.5,3410,10769,2.0,0,1,3,3410,0,0.9981,12,1405000.0
264,3.0,1.75,1300,8800,1.0,0,1,4,1300,0,0.9981,57,502000.0
1231,4.0,2.5,3270,35445,2.0,0,1,3,3270,0,0.9981,31,1070000.0
137,2.0,2.0,1170,1890,1.5,0,2,4,1170,0,1.0,93,613000.0
754,3.0,1.0,880,9238,1.5,0,1,5,880,0,1.0,74,291500.0
1027,3.0,2.5,2590,7720,2.0,0,1,3,2590,0,0.9974,20,809000.0
3521,4.0,3.25,3930,10929,2.0,0,1,3,3930,0,0.9981,14,1875000.0
408,3.0,1.75,1530,8000,2.0,0,1,3,1530,0,0.9974,42,474000.0
710,3.0,1.5,1720,7119,1.5,0,1,4,1720,0,1.0,68,341000.0
617,4.0,2.5,2510,6853,2.0,0,3,3,2510,0,0.9994,14,448000.0
4359,5.0,1.75,3000,6000,1.0,0,1,5,1500,1500,1.0019,62,380000.0
1461,3.0,1.0,970,7742,1.0,0,1,4,970,0,1.0013,53,219900.0
2556,4.0,2.5,2220,4652,2.0,0,1,3,2220,0,1.0,19,405000.0
3192,4.0,2.0,1730,3884,1.0,0,1,5,1060,670,1.0,64,569000.0
4392,3.0,1.0,880,18205,1.0,0,1,4,880,0,1.0019,75,218000.0
1570,4.0,2.5,2680,7200,1.0,0,1,3,1380,1300,0.9981,7,800000.0
4461,2.0,1.0,1120,9912,1.0,0,1,4,1120,0,0.9981,40,256500.0
2387,4.0,4.25,4420,5750,2.0,0,1,3,3410,1010,0.9987,14,890000.0
1343,3.0,2.25,1920,8223,2.0,0,1,4,1920,0,0.9987,31,443000.0
1636,3.0,2.5,2010,2287,2.0,0,1,3,1390,620,0.9981,6,453246.0
506,4.0,1.75,2460,5100,1.5,0,1,5,1450,1010,1.0,32,735000.0
2635,3.0,1.5,1440,28516,1.0,0,1,4,1440,0,0.9981,45,456000.0
2921,4.0,2.5,2331,3826,2.0,0,1,3,2331,0,1.0,13,345000.0
4367,3.0,1.75,2380,6000,1.5,0,1,3,1320,1060,1.0019,46,285000.0
2273,2.0,1.0,870,5750,1.0,0,1,4,870,0,1.0,32,406500.0
1423,3.0,2.5,1601,2491,3.0,0,1,3,1536,65,1.0,13,378000.0
13,2.0,0.75,650,5360,1.0,0,1,4,650,0,1.0,89,230000.0
1762,4.0,2.25,2410,4560,2.0,0,3,5,1800,610,1.0,91,960000.0
4182,3.0,1.75,1400,6956,1.0,0,1,4,1400,0,1.0006,19,230000.0
2545,3.0,2.5,2540,5612,2.0,0,1,3,2540,0,1.0,21,425000.0
1378,3.0,1.5,2080,5244,1.0,0,1,3,1190,890,1.0,31,399950.0
1666,3.0,2.25,1630,2520,2.0,0,1,3,1630,0,0.9981,15,475000.0
4284,4.0,2.25,1990,4600,1.5,0,3,4,1420,570,1.0,62,661000.0
138,6.0,4.5,4230,6420,2.0,0,4,4,2360,1870,1.0,104,1465000.0
2770,3.0,2.0,1700,4250,1.0,0,1,3,890,810,1.0,76,410000.0
1093,5.0,3.25,3850,16249,2.0,0,3,3,3030,820,1.0006,18,507000.0
1333,5.0,3.0,3110,12429,1.0,0,1,3,1790,1320,0.9987,16,436500.0
2851,2.0,2.5,2160,5581,1.0,0,1,3,2160,0,0.9987,18,715000.0
3548,3.0,2.5,2520,53143,1.5,0,1,3,2520,0,0.9987,20,499500.0
4061,4.0,2.25,2130,11843,2.0,0,1,4,2130,0,0.9994,48,850000.0
1696,4.0,2.5,3060,7140,2.0,0,1,3,3060,0,0.9981,14,826000.0
975,1.0,1.0,620,8261,1.0,0,1,3,620,0,1.0,51,148000.0
61,3.0,2.25,1200,1400,3.0,0,1,3,1200,0,1.0,15,320000.0
3499,4.0,2.5,2570,6251,2.0,0,1,3,2570,0,0.9981,20,1170000.0
2767,5.0,1.75,2220,6000,1.5,0,1,3,1420,800,1.0,22,607500.0
3213,4.0,2.5,2610,5140,2.0,0,1,3,2610,0,1.0,14,674600.0
2827,4.0,4.0,4460,103382,2.0,0,1,3,4460,0,0.9987,19,1150000.0
2621,4.0,3.25,3490,7024,2.0,0,1,3,3490,0,0.9981,14,745000.0
3918,3.0,2.0,960,9380,1.0,0,1,3,960,0,1.0006,22,210000.0
2457,4.0,3.25,3060,3898,2.0,0,1,3,2300,760,0.9987,6,782900.0
1157,3.0,3.0,2790,12523,2.0,1,5,4,1600,1190,1.0006,43,835000.0
802,4.0,2.5,3200,7535,2.0,0,1,3,3200,0,1.0,14,1255000.0
1442,3.0,2.5,2910,17172,2.0,0,1,3,2910,0,1.0013,31,450000.0
3847,3.0,1.5,1250,7700,1.0,0,1,5,1250,0,1.0006,52,410000.0
869,3.0,2.5,2390,4555,2.0,0,1,3,2390,0,0.9981,14,695000.0
300,5.0,2.25,3040,8111,2.0,0,1,3,3040,0,0.9974,36,562000.0
1697,4.0,4.25,4390,13833,2.0,0,4,3,3320,1070,0.9981,17,1050000.0
190,3.0,2.5,1870,4060,2.0,0,1,3,1870,0,1.0,15,285000.0
3197,2.0,1.0,1740,5719,1.0,0,1,3,1740,0,1.0,15,800000.0
2821,3.0,2.5,1710,1664,2.0,0,1,5,1300,410,1.0,17,2560498.33333
733,4.0,2.75,1980,11443,1.0,0,1,5,1980,0,1.0,22,475000.0
4030,4.0,2.25,3290,12329,1.5,0,1,4,3290,0,0.9994,52,947500.0
1079,3.0,1.75,1330,9200,1.0,0,1,4,1330,0,1.0006,47,183000.0
3455,4.0,2.5,2310,5100,2.0,0,1,3,2310,0,0.9994,97,790000.0
1797,2.0,1.0,900,5100,1.0,0,1,4,900,0,1.0,31,473000.0
3146,2.0,1.75,1370,5125,1.0,0,1,5,1370,0,1.0,76,409950.0
2114,3.0,2.0,1450,2400,1.5,0,1,3,1450,0,1.0,17,490000.0
3764,5.0,3.0,2300,8214,2.0,0,1,3,2300,0,1.0006,97,312891.0
19,3.0,1.0,1220,13000,1.0,0,1,4,1220,0,1.0,11,300000.0
1214,4.0,2.25,2060,8470,1.0,0,1,3,1440,620,0.9981,11,655000.0
4454,2.0,1.0,1000,4776,1.0,0,1,4,1000,0,1.0,38,247875.0
4587,3.0,1.75,1210,8075,1.0,0,1,4,1210,0,1.0006,37,215000.0
3760,3.0,1.5,1220,7300,1.0,0,1,3,1220,0,1.0006,7,175000.0
1106,3.0,2.5,1769,7324,2.0,0,1,3,1769,0,1.0006,108,334888.0
2944,4.0,2.5,2440,7155,2.0,0,1,3,2440,0,1.0,27,388000.0
3973,4.0,2.5,2480,16360,1.0,0,1,5,1510,970,0.9994,61,560000.0
2535,4.0,2.5,2340,6896,2.0,0,1,3,2340,0,1.0,19,465950.0
2123,3.0,1.0,1500,3920,1.0,0,1,3,1000,500,1.0,8,606000.0
1815,3.0,2.25,2400,5000,1.5,0,1,4,1440,960,1.0,27,575000.0
4519,4.0,2.75,2414,7693,2.0,0,1,3,2414,0,1.0013,14,292000.0
3497,3.0,1.75,2140,9484,1.0,0,1,3,1290,850,0.9981,67,650000.0
2385,3.0,2.5,1790,2700,2.0,0,1,3,1790,0,0.9987,10,509900.0
4388,5.0,3.0,3190,7081,1.0,0,3,3,1890,1300,1.0019,97,664950.0
1546,4.0,2.0,2510,13695,1.0,0,1,4,1280,1230,0.9981,19,581000.0
2724,2.0,1.75,1610,158558,1.5,0,1,2,1610,0,0.9981,72,280000.0
